Date,Open,High,Low,Close,Volume
2021-01-19,124.3877334109567,125.2930517717372,123.5700370457831,124.43640899658203,90757300
2021-01-20,125.24435806944973,128.9726816127556,125.13727773804456,128.52488708496094,104319500
2021-01-21,130.2479286583061,135.96208925479198,130.0434971272025,133.23641967773438,120150900
2021-01-22,132.6621108553387,136.1373435501003,131.43556600326772,135.3780517578125,114459400
2021-01-25,139.27180493160114,141.23816756160053,132.91514878597044,139.1257781982422,157611700
2021-01-26,139.787742121757,140.46915569228537,137.6169330170498,139.3594207763672,98390600
2021-01-27,139.6222601892596,140.46917381461645,136.6824448551771,138.28863525390625,140843800
2021-01-28,135.81607367562873,138.22050212672593,133.07093096645877,133.45057678222656,142621100
2021-01-29,132.22405890530754,133.10990427231604,126.7532604410124,128.45680236816406,177523800
2021-02-01,130.19924214528973,131.7859741111612,127.45409959233686,130.57888793945312,106239800
2021-02-02,132.12667146199954,132.69127555683025,131.0364096809211,131.4063262939453,83305400
2021-02-03,132.15586101329262,132.16560504134387,130.06294479305137,130.38418579101562,89880900
2021-02-04,132.68157041122387,133.75235918193923,131.01696020484349,133.7426300048828,84183100
2021-02-05,133.90346870595903,133.97170445351236,132.45085206919504,133.32826232910156,75693800
2021-02-08,132.6165797613071,133.52325088194496,131.53443254526087,133.47450256347656,71297200
2021-02-09,133.19180084894626,134.42019329345555,132.44113310608114,132.59710693359375,76774200
2021-02-10,133.0553056014661,133.5525177010359,131.02749721967888,131.99266052246094,73046600
2021-02-11,132.4898338171174,132.9675435248031,130.41329236021338,131.73916625976562,64280000
2021-02-12,130.97873504321333,132.12911793128706,130.33529298247856,131.97312927246094,60145100
2021-02-16,132.0901434978276,132.5970843838598,129.4578829220419,129.8478546142578,80576300
2021-02-17,127.95653915633494,128.90220010245756,126.22120594870577,127.55682373046875,97918500
2021-02-18,125.95797287967874,126.7379014019475,124.21289601346298,126.45518493652344,96856700
2021-02-19,126.97189361497381,127.43010109713762,125.56802514842084,126.61116790771484,87668800
2021-02-22,124.79784515359262,126.46494274164387,122.44832304893025,122.83828735351562,103916400
2021-02-23,120.65448673963841,123.53045927947294,115.41923371769597,122.70178985595703,158273000
2021-02-24,121.80487424070276,122.40931177714582,119.16287735238498,122.20458221435547,111039900
2021-02-25,121.55138820352438,123.28672123283567,117.51527437819725,117.9539794921875,148199500
2021-02-26,119.51384476967971,121.71713665773981,118.15872464367439,118.21722412109375,164560400
2021-03-01,120.64473383419431,124.71984514122286,119.70882406427694,124.58335876464844,116307900
2021-03-02,125.18779891061432,125.49001767022227,121.87311395477933,121.98035430908203,102260900
2021-03-03,121.67813306792647,122.55555080343935,118.78265825970878,118.99713897705078,112966300
2021-03-04,118.69492201638303,120.49849839926789,115.64346591859298,117.11557006835938,178155000
2021-03-05,117.94423786319923,118.88014757741405,114.61980182519049,118.3731918334961,153766600
2021-03-08,117.8955104919653,117.96375368831654,113.29394800099358,113.440185546875,154376600
2021-03-09,116.04317714685729,118.99714411910483,115.80920155325997,118.05148315429688,129525800
2021-03-10,118.63641195525601,119.10436305827703,116.45261534799565,116.96932220458984,111943300
2021-03-11,119.4651060547753,120.11829196722469,118.21722627040926,118.899658203125,103026500
2021-03-12,117.3788226462093,118.12949788092051,116.16993985976019,117.99301147460938,88105100
2021-03-15,118.36346113570012,120.88846666765528,117.39829786101335,120.87871551513672,92403800
2021-03-16,122.5457796988101,124.02764217483661,121.59037521632449,122.4190444946289,115227900
2021-03-17,120.93721148152662,122.70179070070945,119.27011403289939,121.62939453125,111932600
2021-03-18,119.79656889154106,120.08904396527872,117.30080936399335,117.50553894042969,121229700
2021-03-19,116.89134214689703,118.38294855656439,116.67686143267959,116.97908020019531,185549500
2021-03-22,117.31054946298083,120.76172079332808,117.24230627726561,120.29376220703125,111912300
2021-03-23,120.23527288356823,121.1224343178664,119.07513126230569,119.46509552001953,95467100
2021-03-24,119.73806777124454,119.81606211005297,117.05707373778829,117.07656860351562,88530500
2021-03-25,116.54037047817636,118.60717576184044,116.01391986522562,117.56401824951172,98844700
2021-03-26,117.33005170542276,118.43170133574063,115.93593444848634,118.16847229003906,94071200
2021-03-29,118.59744153314395,119.50410536738507,117.70052885181629,118.34396362304688,80819200
2021-03-30,117.09607172542653,117.37879562712054,115.87743806534003,116.89134216308594,85671900
2021-03-31,118.59743876993915,120.42051011090868,118.10998526692909,119.08489227294922,118323800
2021-04-01,120.55699346889742,121.06394179532072,119.41634671803331,119.9135513305664,75089100
2021-04-05,120.7617238181442,122.99426157524732,119.98179530076379,122.74078369140625,88651200
2021-04-06,123.32573845569713,123.9399272027551,122.49706897342678,123.04301452636719,80171300
2021-04-07,122.67254049145967,124.7100924000349,121.99985233123647,124.69059753417969,83466700
2021-04-08,125.71427504215544,127.11814372974433,125.29507210467128,127.08889770507812,88844600
2021-04-09,126.54292881700623,129.70161790758218,126.22120772891054,129.66262817382812,106686700
2021-04-12,129.1946414847547,129.51636248443688,127.35206839631736,127.94676208496094,91420000
2021-04-13,129.11667689697725,131.28097148351077,128.61946483937675,131.05673217773438,91266500
2021-04-14,131.55393195001986,131.6124239805342,128.35623869078685,128.71694946289062,87222800
2021-04-15,130.46205515581354,131.61243821608534,130.286564169391,131.12498474121094,89347100
2021-04-16,130.93001971708307,131.29073056509336,129.93561036138595,130.7935333251953,84922400
2021-04-19,130.1598384774607,132.07066289352065,129.99410605950115,131.4564666748047,94264200
2021-04-20,131.63191186465178,132.12910894546226,128.5024546918313,129.76983642578125,94812300
2021-04-21,129.0386769276597,130.39379691363274,128.00527800142257,130.1500701904297,68847100
2021-04-22,129.701600029045,130.78374722132708,128.11251198833915,128.62921142578125,84566500
2021-04-23,128.84373611155925,131.72945302562363,128.84373611155925,130.9495391845703,78657500
2021-04-26,131.44670263718533,131.67092706494682,130.2085666757299,131.33946228027344,66905100
2021-04-27,131.62218352757128,132.01215523774303,130.7447732125093,131.0177459716797,66015800
2021-04-28,130.93973569140266,131.63192609526544,129.740604439872,130.22805786132812,107760100
2021-04-29,133.04556205861587,133.63051222031285,129.12643167740748,130.13058471679688,151101000
2021-04-30,128.47321732434253,130.20855024381436,127.78104182463377,128.1612548828125,109839500
2021-05-03,128.72671884393358,130.70579381831388,128.52199669631204,129.21417236328125,75135100
2021-05-04,127.89803861753046,128.19051366277054,123.52070128030383,124.641845703125,137564700
2021-05-05,125.95797834787251,127.17661206810328,124.75884693241741,124.88558959960938,84000900
2021-05-06,124.6808521847062,126.4941797495625,123.93992080258374,126.48443603515625,78128300
2021-05-07,127.78325616498553,128.1836356126159,126.44535491426944,127.15825653076172,78973300
2021-05-10,126.3770049216638,126.50394796231055,123.83793549239249,123.87699890136719,88071200
