Date,Open,High,Low,Close,Volume,Returns,RSI,MACD,ATR,Target
2021-02-05,102.72951534871969,104.34291815901769,102.19998621432572,104.1190948486328,30702000,0.017276430566853795,77.74630799446372,1.3226417847659206,3.5413013605302655,1
2021-02-08,104.51165597902278,105.3869424571287,102.82877448914589,103.86649322509766,24838000,-0.002426083552708236,77.0378500727145,1.546805024534379,3.483633872855274,1
2021-02-09,103.15334675297662,104.47294796963138,103.15334675297662,103.39999389648438,17798000,-0.004491336080850394,70.83048435229401,1.6691640204975187,3.1778558529355254,1
2021-02-10,103.93100033477586,104.63372991225886,102.38658399549954,103.9890594482422,22710000,0.005696959250766964,71.28796905401057,1.7782196795306362,3.1683553479995976,1
2021-02-11,104.19403374955976,104.31909522357093,103.09278852654596,104.0143814086914,18914000,0.00024350600518507903,70.72067535603136,1.8415054191233793,3.1524745396754676,1
2021-02-12,103.7344756103159,104.65606849407718,103.3811305634454,104.4223175048828,17114000,0.003921920129376533,71.47024413776552,1.893911105805259,3.0235845785939333,1
2021-02-16,104.4347284071332,106.83274335243696,104.4347284071332,105.3051986694336,22676000,0.00845490873643473,71.46726300281998,1.968998371383691,3.051287817018983,1
2021-02-17,104.21833932555076,105.88880908882014,104.16474047433805,105.62329864501952,21418000,0.0030207433213671475,87.50504832046926,2.0244588157334107,2.7907424579075717,1
2021-02-18,104.7339724967324,105.84290379891696,104.40245928622272,105.07193756103516,22432000,-0.0052200706762376425,83.83988527901613,2.0062914606276507,2.652440945887744,1
2021-02-19,105.17467874674288,105.73348355681485,104.0898130453819,104.2749252319336,29148000,-0.007585396706314529,86.44407562668651,1.9142695215305707,2.5822887711805538,0
2021-02-22,102.5806394775644,103.7925507646724,102.33945217637913,102.47543334960938,27350000,-0.017257186982601036,74.42431178020321,1.6964940809869944,2.41336901097477,1
2021-02-23,100.49675675125818,103.32553876597618,99.35580848769985,102.77218627929688,33348000,0.0028958445940412414,72.78366606543098,1.5278222292596837,2.504046387823896,2
2021-02-24,101.33149202258612,104.25705185046772,101.14787165501272,103.9786376953125,24966000,0.011739084860342919,56.39201064245442,1.4633276756103868,2.056192577733102,0
2021-02-25,102.60295304770491,103.96424877038558,100.31213601750446,100.8118896484375,36568000,-0.03045575626942232,43.858201497686274,1.1715123758646087,2.190613311928778,1
